trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Fixation.started,key_resp.started,Fixation.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,participant,session,date,expName,psychopyVersion,frameRate,
112,0,112,0,176.74378012499983,177.7274156249996,177.73335554200003,down,0,0.6908214579998457,None,0,1,001,2023-09-08_18h30.41.203,orient_discrimination,2023.1.3,None,
113,0,113,0,178.44472395899993,179.42775087500013,179.43425591699997,down,0,0.5271900820007431,None,0,1,001,2023-09-08_18h30.41.203,orient_discrimination,2023.1.3,None,
114,0,114,0,179.9776995000002,180.96085891700022,180.9667191669996,down,0,0.693225082999561,None,0,1,001,2023-09-08_18h30.41.203,orient_discrimination,2023.1.3,None,
115,0,115,0,181.67832562500007,182.66098979199978,182.6672215839999,up,0,0.47308745800000906,None,1,1,001,2023-09-08_18h30.41.203,orient_discrimination,2023.1.3,None,
116,0,116,0,183.14952229200026,184.1350184590001,184.14476420899973,up,1,0.4893335830001888,None,0,1,001,2023-09-08_18h30.41.203,orient_discrimination,2023.1.3,None,
117,0,117,0,184.64492274999975,185.62768962500013,185.63368400000036,up,1,0.4379429580003489,None,0,1,001,2023-09-08_18h30.41.203,orient_discrimination,2023.1.3,None,
118,0,118,0,186.08331666699996,187.06905962499968,187.07780995899975,down,1,0.9282882910001717,None,-3,1,001,2023-09-08_18h30.41.203,orient_discrimination,2023.1.3,None,
119,0,119,0,188.01722929199968,189.00327595900035,189.01120274999994,up,0,0.694955748999746,None,2,1,001,2023-09-08_18h30.41.203,orient_discrimination,2023.1.3,None,
120,0,120,0,189.7180308750003,190.70172787499996,190.71166058400013,up,0,0.6432510000004186,None,1,1,001,2023-09-08_18h30.41.203,orient_discrimination,2023.1.3,None,
121,0,121,0,191.3615075839998,192.3448050420002,192.35126349999973,up,0,0.4760911250004938,None,3,1,001,2023-09-08_18h30.41.203,orient_discrimination,2023.1.3,None,
122,0,122,0,192.84471258400026,193.82817266700022,193.83412204199976,down,1,0.6142639990002863,None,4,1,001,2023-09-08_18h30.41.203,orient_discrimination,2023.1.3,None,
123,0,123,0,194.46252000000004,195.44496195900047,195.45096241700048,up,0,0.5667869580001934,None,3,1,001,2023-09-08_18h30.41.203,orient_discrimination,2023.1.3,None,
124,0,124,0,196.02818891700008,197.01180637499965,197.01780637499996,up,1,1.0890459989996089,None,0,1,001,2023-09-08_18h30.41.203,orient_discrimination,2023.1.3,None,
125,0,125,0,198.1168855420001,199.10344675000033,199.11153641700002,down,1,0.7447840409995479,None,-3,1,001,2023-09-08_18h30.41.203,orient_discrimination,2023.1.3,None,
126,0,126,0,199.86652516699996,200.8535965000001,200.86162620899995,up,0,0.8080774999998539,None,1,1,001,2023-09-08_18h30.41.203,orient_discrimination,2023.1.3,None,
127,0,127,0,201.67909337499987,202.66185874999974,202.66783466699962,up,1,0.5593215830003828,None,0,1,001,2023-09-08_18h30.41.203,orient_discrimination,2023.1.3,None,
128,0,128,0,203.24544908400003,204.22840229200028,204.23433670899976,up,1,0.6122258739997051,None,0,1,001,2023-09-08_18h30.41.203,orient_discrimination,2023.1.3,None,
129,0,129,0,204.86278595899967,205.8453674170005,205.8518610000001,down,1,0.6332570409995242,None,4,1,001,2023-09-08_18h30.41.203,orient_discrimination,2023.1.3,None,
130,0,130,0,206.49475579200043,207.478907875,207.48542266700042,up,0,0.7364711660002285,None,2,1,001,2023-09-08_18h30.41.203,orient_discrimination,2023.1.3,None,
131,0,131,0,208.23310795900034,209.220082584,209.22865395900044,up,1,0.4716630829998394,None,0,1,001,2023-09-08_18h30.41.203,orient_discrimination,2023.1.3,None,
132,0,132,0,209.71193250000033,210.6954340000002,210.70143041699976,down,1,0.6171561660003135,None,4,1,001,2023-09-08_18h30.41.203,orient_discrimination,2023.1.3,None,
133,0,133,0,211.329411875,212.31219966699973,212.3181919589997,up,0,0.5823012909995668,None,1,1,001,2023-09-08_18h30.41.203,orient_discrimination,2023.1.3,None,
134,0,134,0,213.20785808399978,213.98716595899987,214.20077616700019,up,1,0.48998441599906073,None,0,1,001,2023-09-08_18h30.41.203,orient_discrimination,2023.1.3,None,
135,0,135,0,214.4954831670002,215.47896025000045,215.48534699999982,up,0,0.4044426239997847,None,-2,1,001,2023-09-08_18h30.41.203,orient_discrimination,2023.1.3,None,
136,0,136,0,215.89995595900018,216.88748037500045,216.89560729200002,down,1,0.6331411659994046,None,2,1,001,2023-09-08_18h30.41.203,orient_discrimination,2023.1.3,None,
137,0,137,0,217.54531220900026,218.52900262500043,218.53546112500044,down,1,0.5594179159998021,None,-3,1,001,2023-09-08_18h30.41.203,orient_discrimination,2023.1.3,None,
138,0,138,0,219.11253362499974,220.09582595899974,220.1019248749999,down,1,0.5588444570003048,None,2,1,001,2023-09-08_18h30.41.203,orient_discrimination,2023.1.3,None,
139,0,139,0,220.67928579199997,221.66252983400045,221.6684905840002,down,1,0.6343595829994229,None,-4,1,001,2023-09-08_18h30.41.203,orient_discrimination,2023.1.3,None,
140,0,140,0,222.31401341699984,223.2958502499996,223.3130898749996,down,1,0.41830466600004,None,-5,1,001,2023-09-08_18h30.41.203,orient_discrimination,2023.1.3,None,
141,0,141,0,223.73375158399995,224.72121366700048,224.72923441700004,down,0,0.4108165829993595,None,0,1,001,2023-09-08_18h30.41.203,orient_discrimination,2023.1.3,None,
142,0,142,0,225.15050916699965,226.13705674999983,226.14602491700043,up,1,0.37589216599917563,None,0,1,001,2023-09-08_18h30.41.203,orient_discrimination,2023.1.3,None,
143,0,143,0,226.52970854199975,227.51273700000002,227.51883683400047,up,1,0.5363990409996404,None,0,1,001,2023-09-08_18h30.41.203,orient_discrimination,2023.1.3,None,
144,0,144,0,228.0683664170001,229.05384225000034,229.06278099999963,down,1,0.4795431659995302,None,4,1,001,2023-09-08_18h30.41.203,orient_discrimination,2023.1.3,None,
145,0,145,0,229.55037016700044,230.53817574999994,230.5461075000003,down,1,1.1094335409998166,None,-2,1,001,2023-09-08_18h30.41.203,orient_discrimination,2023.1.3,None,
146,0,146,0,231.66706754200004,232.65473429200028,232.66297416700036,up,1,0.7329081660000156,None,0,1,001,2023-09-08_18h30.41.203,orient_discrimination,2023.1.3,None,
147,0,147,0,233.41351825000038,234.39629954199972,234.40225541699965,down,1,0.5515931660002025,None,4,1,001,2023-09-08_18h30.41.203,orient_discrimination,2023.1.3,None,
148,0,148,0,234.96761533399967,235.95439316699958,235.96302387499964,up,1,0.611948916000074,None,0,1,001,2023-09-08_18h30.41.203,orient_discrimination,2023.1.3,None,
149,0,149,0,236.58401487500032,237.57043779200012,237.58029774999977,up,1,0.666496623999592,None,0,1,001,2023-09-08_18h30.41.203,orient_discrimination,2023.1.3,None,
150,0,150,0,238.25310095900022,239.23855295900012,239.2464060000002,up,1,0.5175176239999928,None,0,1,001,2023-09-08_18h30.41.203,orient_discrimination,2023.1.3,None,
151,0,151,0,239.77935408400026,240.76315925000017,240.76921433400003,up,0,0.5294966239998757,None,1,1,001,2023-09-08_18h30.41.203,orient_discrimination,2023.1.3,None,
152,0,152,0,241.31438395900022,242.29655929199998,242.3138385000002,up,0,0.5168542080000407,None,1,1,001,2023-09-08_18h30.41.203,orient_discrimination,2023.1.3,None,
153,0,153,0,242.8309397920002,243.8133924169997,243.81930133399965,up,1,0.5051992499993503,None,0,1,001,2023-09-08_18h30.41.203,orient_discrimination,2023.1.3,None,
154,0,154,0,244.33414733399968,245.3222249170003,245.33007516700036,down,1,0.47581316600007995,None,1,1,001,2023-09-08_18h30.41.203,orient_discrimination,2023.1.3,None,
155,0,155,0,245.82070245900013,246.80412070900002,246.81370629200046,up,1,0.4535855829999491,None,0,1,001,2023-09-08_18h30.41.203,orient_discrimination,2023.1.3,None,
156,0,156,0,247.27986512500047,248.263585959,248.26970087500013,up,1,0.4349072069999238,None,0,1,001,2023-09-08_18h30.41.203,orient_discrimination,2023.1.3,None,
157,0,157,0,248.718275792,249.70560958399983,249.71351649999997,down,1,0.64556120799989,None,-4,1,001,2023-09-08_18h30.41.203,orient_discrimination,2023.1.3,None,
