84.3783 	EXP 	grating: ori = -2.0
84.3783 	EXP 	Fixation: autoDraw = True
85.3661 	EXP 	grating: autoDraw = True
85.3738 	EXP 	Fixation: autoDraw = False
85.6635 	EXP 	grating: autoDraw = False
85.9650 	EXP 	New trial (rep=52, index=0): None
85.9685 	DATA 	Keypress: up
85.9737 	EXP 	Fixation: autoDraw = False
85.9737 	EXP 	grating: autoDraw = False
85.9737 	EXP 	grating: ori = -2.0
85.9737 	EXP 	Fixation: autoDraw = True
86.9570 	EXP 	grating: autoDraw = True
86.9634 	EXP 	Fixation: autoDraw = False
87.2317 	EXP 	New trial (rep=53, index=0): None
87.2353 	DATA 	Keypress: down
87.2405 	EXP 	Fixation: autoDraw = False
87.2405 	EXP 	grating: autoDraw = False
87.2405 	EXP 	grating: ori = -5.0
87.2405 	EXP 	Fixation: autoDraw = True
88.2238 	EXP 	grating: autoDraw = True
88.2298 	EXP 	Fixation: autoDraw = False
88.5136 	EXP 	grating: autoDraw = False
88.5981 	EXP 	New trial (rep=54, index=0): None
88.6017 	DATA 	Keypress: up
88.6066 	EXP 	Fixation: autoDraw = False
88.6066 	EXP 	grating: autoDraw = False
88.6066 	EXP 	grating: ori = 0.0
88.6066 	EXP 	Fixation: autoDraw = True
89.5905 	EXP 	grating: autoDraw = True
89.5965 	EXP 	Fixation: autoDraw = False
89.8801 	EXP 	grating: autoDraw = False
90.2823 	EXP 	New trial (rep=55, index=0): None
90.2862 	DATA 	Keypress: up
90.2915 	EXP 	Fixation: autoDraw = False
90.2915 	EXP 	grating: autoDraw = False
90.2915 	EXP 	grating: ori = 1.0
90.2915 	EXP 	Fixation: autoDraw = True
91.2740 	EXP 	grating: autoDraw = True
91.2800 	EXP 	Fixation: autoDraw = False
91.5627 	EXP 	grating: autoDraw = False
91.6319 	EXP 	New trial (rep=56, index=0): None
91.6355 	DATA 	Keypress: down
91.6407 	EXP 	Fixation: autoDraw = False
91.6407 	EXP 	grating: autoDraw = False
91.6407 	EXP 	grating: ori = -4.0
91.6407 	EXP 	Fixation: autoDraw = True
92.6242 	EXP 	grating: autoDraw = True
92.6302 	EXP 	Fixation: autoDraw = False
92.9137 	EXP 	grating: autoDraw = False
93.1152 	EXP 	New trial (rep=57, index=0): None
93.1190 	DATA 	Keypress: up
93.1240 	EXP 	Fixation: autoDraw = False
93.1240 	EXP 	grating: autoDraw = False
93.1240 	EXP 	grating: ori = 0.0
93.1240 	EXP 	Fixation: autoDraw = True
94.1077 	EXP 	grating: autoDraw = True
94.1138 	EXP 	Fixation: autoDraw = False
94.3968 	EXP 	grating: autoDraw = False
94.4154 	EXP 	New trial (rep=58, index=0): None
94.4190 	DATA 	Keypress: up
94.4238 	EXP 	Fixation: autoDraw = False
94.4238 	EXP 	grating: autoDraw = False
94.4238 	EXP 	grating: ori = -4.0
94.4238 	EXP 	Fixation: autoDraw = True
95.4075 	EXP 	grating: autoDraw = True
95.4137 	EXP 	Fixation: autoDraw = False
95.6968 	EXP 	grating: autoDraw = False
95.8161 	EXP 	New trial (rep=59, index=0): None
95.8200 	DATA 	Keypress: up
